------------------------------------------
Starting Logging:16:17:47.384181
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
11:11:00.954851:0,0,0,0,0,0,0,0
11:11:01.958065:0,0,0,0,0,0,0,0
11:11:02.960654:0,0,0,0,0,0,0,0
11:11:03.964193:0,0,0,0,0,0,0,0
11:11:04.973028:0,0,0,0,0,0,0,0
11:11:05.977628:0,0,0,0,0,0,0,0
11:11:06.985345:0,0,0,0,0,0,0,0
11:11:07.989222:0,0,0,0,0,0,0,0
11:11:08.993394:0,0,0,0,0,0,0,0
11:11:10.003261:0,0,0,0,0,0,0,0
11:11:11.006113:0,0,0,0,0,0,0,0
11:11:12.010088:0,0,0,0,0,0,0,0
11:11:13.017853:0,0,0,0,0,0,0,0
11:11:14.021213:0,0,0,0,0,0,0,0
11:11:15.035246:0,0,0,0,0,0,0,0
11:11:16.038950:0,0,0,0,0,0,0,0
11:11:17.042475:0,0,0,0,0,0,0,0
11:11:18.046568:0,0,0,0,0,0,0,0
11:11:19.050600:0,0,0,0,0,0,0,0
11:11:20.061853:0,0,0,0,0,0,0,0
11:11:21.065776:0,0,0,0,0,0,0,0
11:11:22.072583:0,0,0,0,0,0,0,0
11:11:23.075182:0,0,0,0,0,0,0,0
11:11:24.079068:0,0,0,0,0,0,0,0
11:11:25.088714:0,0,0,0,0,0,0,0
11:11:26.091305:0,0,0,0,0,0,0,0
11:11:27.093921:0,0,0,0,0,0,0,0
11:11:28.097756:0,0,0,0,0,0,0,0
11:11:29.101514:0,0,0,0,0,0,0,0
11:11:30.110529:0,0,0,0,0,0,0,0
11:11:31.114654:0,0,0,0,0,0,0,0
11:11:32.117147:0,0,0,0,0,0,0,0
11:11:33.121210:0,0,0,0,0,0,0,0
11:11:34.125152:0,0,0,0,0,0,0,0
11:11:35.132750:0,0,0,0,0,0,0,0
11:11:36.135399:0,0,0,0,0,0,0,0
11:11:37.139438:0,0,0,0,0,0,0,0
11:11:38.143510:0,0,0,0,0,0,0,0
11:11:39.147415:0,0,0,0,0,0,0,0
11:11:40.156005:0,0,0,0,0,0,0,0
11:11:41.161449:0,0,0,0,0,0,0,0
11:11:42.165358:0,0,0,0,0,0,0,0
11:11:43.169796:0,0,0,0,0,0,0,0
11:11:44.173874:0,0,0,0,0,0,0,0
11:11:45.183205:0,0,0,0,0,0,0,0
11:11:46.187096:0,0,0,0,0,0,0,0
11:11:47.191886:0,0,0,0,0,0,0,0
11:11:48.196302:0,0,0,0,0,0,0,0
11:11:49.200199:0,0,0,0,0,0,0,0
11:11:50.210452:0,0,0,0,0,0,0,0
11:11:51.215375:0,0,0,0,0,0,0,0
11:11:52.219750:0,0,0,0,0,0,0,0
11:11:53.228820:0,0,0,0,0,0,0,0
11:11:54.233060:0,0,0,0,0,0,0,0
11:11:55.241269:0,0,0,0,0,0,0,0
11:11:56.246039:0,0,0,0,0,0,0,0
11:11:57.249999:0,0,0,0,0,0,0,0
11:11:58.254196:0,0,0,0,0,0,0,0
11:11:59.257951:0,0,0,0,0,0,0,0
11:12:00.269953:0,0,0,0,0,0,0,0
11:12:01.272549:0,0,0,0,0,0,0,0
11:12:02.275788:0,0,0,0,0,0,0,0
11:12:03.278366:0,0,0,0,0,0,0,0
11:12:04.281805:0,0,0,0,0,0,0,0
11:12:05.289563:0,0,0,0,0,0,0,0
11:12:06.293143:0,0,0,0,0,0,0,0
11:12:07.296971:0,0,0,0,0,0,0,0
11:12:08.300343:0,0,0,0,0,0,0,0
11:12:09.303837:0,0,0,0,0,0,0,0
11:12:10.310826:0,0,0,0,0,0,0,0
11:12:11.314320:0,0,0,0,0,0,0,0
11:12:12.317628:0,0,0,0,0,0,0,0
11:12:13.320975:0,0,0,0,0,0,0,0
11:12:14.324390:0,0,0,0,0,0,0,0
11:12:15.332108:0,0,0,0,0,0,0,0
11:12:16.335963:0,0,0,0,0,0,0,0
11:12:17.339303:0,0,0,0,0,0,0,0
11:12:18.342777:0,0,0,0,0,0,0,0
11:12:19.346153:0,0,0,0,0,0,0,0
11:12:20.354596:0,0,0,0,0,0,0,0
11:12:21.358975:0,0,0,0,0,0,0,0
11:12:22.363793:0,0,0,0,0,0,0,0
11:12:23.368301:0,0,0,0,0,0,0,0
11:12:24.372363:0,0,0,0,0,0,0,0
11:12:25.381231:0,0,0,0,0,0,0,0
11:12:26.385635:0,0,0,0,0,0,0,0
11:12:27.391366:0,0,0,0,0,0,0,0
11:12:28.395434:0,0,0,0,0,0,0,0
11:12:29.399799:0,0,0,0,0,0,0,0
11:12:30.410603:0,0,0,0,0,0,0,0
11:12:31.414762:0,0,0,0,0,0,0,0
11:12:32.418785:0,0,0,0,0,0,0,0
11:12:33.422360:0,0,0,0,0,0,0,0
11:12:34.431319:0,0,0,0,0,0,0,0
11:12:35.437663:0,0,0,0,0,0,0,0
11:12:36.440283:0,0,0,0,0,0,0,0
11:12:37.443047:0,0,0,0,0,0,0,0
-------------------------------
Starting Logging:11:21:50.196616
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
-------------------------------
11:21:52.668284:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:21:53.672175:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:21:54.676073:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:21:55.680662:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:21:56.684883:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:21:57.688873:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:21:58.692865:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:21:59.701311:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:00.704703:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:01.708708:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:02.715400:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:03.721239:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:04.739037:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:05.742990:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:06.747884:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:07.751909:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:08.755885:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:09.765918:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:10.769719:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:11.773714:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:12.777635:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:13.781994:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:14.792618:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:15.796425:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:16.800179:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:17.804183:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:18.807955:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:19.820088:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:20.825730:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:21.830518:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:22.835689:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:23.840045:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:24.856198:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:25.860741:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:26.865339:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:27.869796:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:28.876079:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:29.887447:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:30.890500:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:31.894955:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:32.899538:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:33.902732:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:34.911739:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:35.915895:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:36.919005:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:37.923403:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:38.927202:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:39.938492:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:40.942222:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:41.946123:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:42.949936:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:43.953806:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:44.962972:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:45.965973:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:46.969094:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:47.973094:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:48.976824:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:49.986165:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:50.989250:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:51.993350:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:52.996363:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:53.999384:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:55.007640:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:56.011573:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:57.016094:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:58.021035:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:22:59.026080:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:00.042068:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:01.048516:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:02.051353:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:03.055812:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:04.060395:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:05.071838:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:06.074983:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:07.079282:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:08.084262:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:09.087547:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:10.096807:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:11.101681:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:12.104672:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:13.109486:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:14.114871:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:15.121252:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:16.126471:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:17.131257:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:18.134258:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:19.138731:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:20.149088:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:21.158345:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:22.161308:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:23.165085:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:24.169468:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:25.177776:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:26.180447:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:27.185147:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:28.188991:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:29.193130:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:30.202180:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:31.205843:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:32.209255:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:33.215403:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:34.219955:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:35.230923:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:36.239789:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:37.244437:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:38.248233:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:39.252790:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:40.264657:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:41.269000:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:42.282535:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:43.286584:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:44.290326:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:45.300272:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:46.311431:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:47.315629:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:48.320153:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:49.324514:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:50.334330:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:51.338697:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:52.342465:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:53.346811:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:54.352869:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:55.365875:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:56.369945:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:57.374612:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:58.378453:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:23:59.382178:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:24:00.390919:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:24:01.395827:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:24:02.399503:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:24:03.403496:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:24:04.407923:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:24:05.416801:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:24:06.420609:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:24:07.432680:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:24:08.438181:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
11:24:09.441310:0,0,(0.0,),(0.0,),(5.131766893091016e+19,),(2.5442042350769043,),0,0
-------------------------------
Starting Logging:11:24:12.596888
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
-------------------------------
11:24:14.061571:0,0,0,0,0,0,0,0
11:24:15.065501:0,0,0,0,0,0,0,0
11:24:16.072396:0,0,0,0,0,0,0,0
11:24:17.075548:0,0,0,0,0,0,0,0
11:24:18.079674:0,0,0,0,0,0,0,0
11:24:19.083523:0,0,0,0,0,0,0,0
11:24:20.087560:0,0,0,0,0,0,0,0
11:24:21.091647:0,0,0,0,0,0,0,0
11:24:22.095717:0,0,0,0,0,0,0,0
11:24:23.104712:0,0,0,0,0,0,0,0
11:24:24.109175:0,0,0,0,0,0,0,0
11:24:25.112570:0,0,0,0,0,0,0,0
11:24:26.116677:0,0,0,0,0,0,0,0
11:24:27.120679:0,0,0,0,0,0,0,0
11:24:28.128750:0,0,0,0,0,0,0,0
11:24:29.133445:0,0,0,0,0,0,0,0
11:24:30.138166:0,0,0,0,0,0,0,0
11:24:31.141282:0,0,0,0,0,0,0,0
11:24:32.154250:0,0,0,0,0,0,0,0
11:24:33.163133:0,0,0,0,0,0,0,0
11:24:34.166468:0,0,0,0,0,0,0,0
11:24:35.169747:0,0,0,0,0,0,0,0
11:24:36.172559:0,0,0,0,0,0,0,0
11:24:37.175832:0,0,0,0,0,0,0,0
11:24:38.185373:0,0,0,0,0,0,0,0
11:24:39.187970:0,0,0,0,0,0,0,0
11:24:40.190615:0,0,0,0,0,0,0,0
11:24:41.194817:0,0,0,0,0,0,0,0
11:24:42.198744:0,0,0,0,0,0,0,0
-------------------------------
Starting Logging:11:25:53.071021
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
-------------------------------
11:25:54.610206:0,0,0,0,0,0,0,0
11:25:55.615023:0,0,0,0,0,0,0,0
11:25:56.618922:0,0,0,0,0,0,0,0
11:25:57.623181:0,0,0,0,0,0,0,0
11:25:58.627124:0,0,0,0,0,0,0,0
11:25:59.631194:0,0,0,0,0,0,0,0
-------------------------------
Starting Logging:11:29:12.690946
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
-------------------------------
11:29:15.387372:(0.5556941032409668,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.49796104431152344,),b'\x00F\xb4>',(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:16.393003:(0.5478739738464355,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.5859375,),b'\xa04\xad>',(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:17.398537:(0.5586624145507812,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.5524158477783203,),b'\x00\x00H>',(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:18.403277:(0.5562901496887207,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.5348920822143555,),b'@\xf2t>',(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:19.410395:(0.5562901496887207,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.5348920822143555,),b'@\xf2t>',(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:20.427509:(0.579679012298584,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.5437374114990234,),b'\xc0\x15\xbb>',(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:21.437656:(0.5588173866271973,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.6019830703735352,),b' \xd5\xa5>',(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:22.440834:(0.5372285842895508,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.5609989166259766,),b'\xa04\xad>',(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:23.452554:(0.5601644515991211,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.5694389343261719,),b'\xc0\x15\xbb>',(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:24.456588:(0.5601644515991211,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.6328821182250977,),b'\x00\x00\x96>',(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:25.460767:(0.5631446838378906,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.6098747253417969,),b' \x1e\x9e>',(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:26.466126:(0.561821460723877,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.49796104431152344,),b"\x00'\xce>",(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:27.469993:(0.525212287902832,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.5259037017822266,),b'@"\xd4>',(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:28.474221:(0.5408406257629395,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.594019889831543,),b' k\x8d>',(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:29.483347:(0.5348801612854004,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.49796104431152344,),b' \xd5\xa5>',(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:30.488069:(0.5461931228637695,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.5167484283447266,),b"\x00'\xce>",(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:31.491278:(0.5647420883178711,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.4683494567871094,),b'@\xf2t>',(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:32.497503:(0.550532341003418,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.6019830703735352,),b' k\x8d>',(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:33.500594:(0.5485177040100098,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.40264129638671875,),b'@\xf2t>',(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:34.506233:(0.5636215209960938,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.5524158477783203,),b"\x00'\xce>",(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:35.509395:(0.5618572235107422,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.5074262619018555,),b' \xd5\xa5>',(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:36.513380:(0.5415558815002441,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.6623268127441406,),b'\x00\x00\x96>',(0.0277786236256361,),b'\x00\x00\x00\x00'
11:29:37.517282:(0.548863410949707,),b'\x00\x00\x00\x00',(0.0,),b'\x00\x00\x00\x00',(0.4784107208251953,),b' \xd5\xa5>',(0.0277786236256361,),b'\x00\x00\x00\x00'
-------------------------------
Starting Logging:11:30:50.410050
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
-------------------------------
11:30:52.949610:(0.5825400352478027,),(0.0,),(0.0,),(0.0,),(0.5437374114990234,),(0.2583742141723633,),(0.0277786236256361,),(0.0,)
11:30:53.953945:(0.5625247955322266,),(0.0,),(0.0,),(0.0,),(0.5609989166259766,),(0.27620792388916016,),(0.0277786236256361,),(0.0,)
11:30:54.958087:(0.5873441696166992,),(0.0,),(0.0,),(0.0,),(0.4580497741699219,),(0.2583742141723633,),(0.0277786236256361,),(0.0,)
11:30:55.963279:(0.5832791328430176,),(0.0,),(0.0,),(0.0,),(0.5609989166259766,),(0.33829212188720703,),(0.0277786236256361,),(0.0,)
11:30:56.968815:(0.5952239036560059,),(0.0,),(0.0,),(0.0,),(0.5694389343261719,),(0.1953125,),(0.0277786236256361,),(0.0,)
