------------------------------------------
Starting Logging:16:17:47.384181
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
16:22:38.445656:273,0,0,0,385,212,685,0
16:22:39.448247:472,0,0,0,310,462,685,0
16:22:40.450842:332,0,0,0,315,372,685,0
16:22:42.463871:340,0,0,0,315,462,685,0
16:22:43.466430:358,0,0,0,315,307,685,0
16:22:44.468991:298,0,0,0,470,282,685,0
16:22:45.471569:500,0,0,0,280,312,685,0
16:22:46.479913:336,0,0,0,350,472,685,0
16:22:47.483044:450,0,0,0,395,447,685,0
16:22:48.487691:260,0,0,0,220,462,685,0
16:22:49.512974:326,0,0,0,220,462,685,0
16:22:50.515586:361,0,0,0,265,372,685,0
16:22:51.522956:462,0,0,0,310,462,685,0
16:22:52.525466:415,0,0,0,345,262,685,0
16:22:53.528121:500,0,0,0,385,262,685,0
16:22:54.530667:413,0,0,0,395,212,685,0
16:22:55.533548:369,0,0,0,280,447,685,0
16:22:56.542405:423,0,0,0,260,712,685,0
16:22:57.544924:447,0,0,0,260,307,685,0
16:22:58.547563:455,0,0,0,260,312,685,0
16:22:59.550131:438,0,0,0,260,282,685,0
16:23:00.552860:435,0,0,0,280,372,685,0
16:23:01.561333:370,0,0,0,85,307,685,0
16:23:02.565524:479,0,0,0,280,312,685,0
16:23:03.571498:270,0,0,0,280,372,685,0
16:23:04.582904:270,0,0,0,280,372,685,0
16:23:05.585340:487,0,0,0,260,752,685,0
16:23:06.591381:470,0,0,0,260,422,685,0
16:23:07.593926:328,0,0,0,350,422,685,0
16:23:08.596549:332,0,0,0,245,307,685,0
16:23:09.599104:484,0,0,0,470,387,685,0
16:23:10.601484:356,0,0,0,470,312,685,0
16:23:11.608955:356,0,0,0,260,462,685,0
16:23:12.611490:371,0,0,0,395,342,685,0
16:23:13.614063:385,0,0,0,315,422,685,0
16:23:14.616620:275,0,0,0,85,632,685,0
16:23:15.619200:448,0,0,0,390,262,685,0
16:23:16.625185:343,0,0,0,290,307,685,0
16:23:17.630101:418,0,0,0,440,447,685,0
16:23:19.641885:511,0,0,0,260,342,685,0
16:23:20.644510:387,0,0,0,395,372,685,0
16:23:21.651782:326,0,0,0,245,422,685,0
16:23:22.654425:273,0,0,0,85,372,685,0
16:23:23.656957:412,0,0,0,245,422,685,0
16:23:24.659755:318,0,0,0,345,307,685,0
16:23:25.668904:345,0,0,0,85,462,685,0
16:23:26.684940:345,0,0,0,612,422,685,0
16:23:27.687430:438,0,0,0,290,372,685,0
16:23:28.690674:380,0,0,0,265,307,685,0
16:23:29.694061:466,0,0,0,265,462,685,0
16:23:30.697481:290,0,0,0,395,282,685,0
16:23:31.705357:398,0,0,0,85,462,685,0
16:23:32.707914:295,0,0,0,85,422,685,0
16:23:34.712303:258,0,0,0,85,712,685,0
16:23:35.715559:273,0,0,0,280,312,685,0
16:23:36.725596:507,0,0,0,220,422,685,0
16:23:37.728871:489,0,0,0,345,372,685,0
16:23:38.732151:325,0,0,0,485,712,685,0
16:23:39.735560:284,0,0,0,470,262,685,0
16:23:40.739917:286,0,0,0,220,447,685,0
16:23:41.747301:286,0,0,0,485,484,685,0
16:23:42.750949:334,0,0,0,265,557,685,0
16:23:43.754441:420,0,0,0,85,312,685,0
16:23:44.757694:311,0,0,0,440,462,685,0
16:23:45.760997:478,0,0,0,290,262,685,0
16:23:46.769977:357,0,0,0,280,262,685,0
16:23:47.774608:316,0,0,0,490,712,685,0
16:23:48.777070:316,0,0,0,85,262,685,0
16:23:49.780462:380,0,0,0,85,262,685,0
16:23:50.783818:400,0,0,0,395,312,685,0
16:23:51.792776:293,0,0,0,260,472,685,0
16:23:52.796334:287,0,0,0,395,307,685,0
16:23:53.802866:323,0,0,0,315,712,685,0
16:23:54.806531:460,0,0,0,265,262,685,0
16:23:55.809095:313,0,0,0,265,262,685,0
16:23:56.817262:420,0,0,0,315,342,685,0
16:23:57.819820:474,0,0,0,385,472,685,0
16:23:58.822384:327,0,0,0,85,372,685,0
16:23:59.824935:395,0,0,0,440,212,685,0
16:24:00.827564:371,0,0,0,265,262,685,0
16:24:01.834656:363,0,0,0,440,447,685,0
16:24:03.839833:318,0,0,0,280,372,685,0
16:24:04.842479:476,0,0,0,315,427,685,0
16:24:05.844991:388,0,0,0,290,427,685,0
16:24:06.852276:373,0,0,0,315,462,685,0
16:24:07.854926:326,0,0,0,345,282,685,0
16:24:08.857493:471,0,0,0,280,472,685,0
16:24:09.861330:325,0,0,0,280,372,685,0
16:24:10.863963:325,0,0,0,85,342,685,0
16:24:11.872700:383,0,0,0,440,462,685,0
16:24:12.875279:456,0,0,0,290,262,685,0
16:24:13.878353:443,0,0,0,280,632,685,0
16:24:14.881552:391,0,0,0,490,312,685,0
16:24:15.884963:416,0,0,0,395,372,685,0
16:24:16.892135:482,0,0,0,470,712,685,0
16:24:17.894596:455,0,0,0,470,712,685,0
16:24:18.897835:338,0,0,0,290,262,685,0
16:24:19.901247:380,0,0,0,85,372,685,0
16:24:20.908364:321,0,0,0,345,422,685,0
16:24:21.918091:388,0,0,0,290,712,685,0
16:24:22.920714:496,0,0,0,260,387,685,0
16:24:23.923447:284,0,0,0,470,462,685,0
16:24:25.927867:407,0,0,0,470,472,685,0
16:24:26.935770:254,0,0,0,385,282,685,0
16:24:27.938294:464,0,0,0,440,312,685,0
16:24:28.940851:375,0,0,0,280,447,685,0
16:24:29.943508:365,0,0,0,320,312,685,0
16:24:30.946285:276,0,0,0,315,262,685,0
16:24:31.953058:367,0,0,0,265,422,685,0
16:24:32.956434:276,0,0,0,490,462,685,0
16:24:33.958946:473,0,0,0,260,372,685,0
16:24:34.961495:276,0,0,0,485,307,685,0
16:24:35.964093:418,0,0,0,385,422,685,0
16:24:36.972192:355,0,0,0,470,712,685,0
16:24:37.974803:480,0,0,0,315,372,685,0
16:24:38.978233:320,0,0,0,85,447,685,0
16:24:39.980874:320,0,0,0,85,447,685,0
16:24:40.984338:497,0,0,0,315,387,685,0
16:24:41.995499:463,0,0,0,395,387,685,0
16:24:42.998206:422,0,0,0,752,447,685,0
16:24:44.000732:311,0,0,0,290,342,685,0
16:24:45.003545:302,0,0,0,440,372,685,0
16:24:46.006065:270,0,0,0,265,307,685,0
16:24:47.008710:270,0,0,0,265,307,685,0
16:24:48.011344:309,0,0,0,265,312,685,0
16:24:49.013908:417,0,0,0,220,307,685,0
16:24:50.016479:268,0,0,0,290,447,685,0
16:24:51.019095:451,0,0,0,290,307,685,0
16:24:52.027996:486,0,0,0,315,282,685,0
16:24:53.030605:429,0,0,0,260,712,685,0
16:24:54.033452:429,0,0,0,290,262,685,0
16:24:55.035972:486,0,0,0,440,447,685,0
16:24:56.038602:384,0,0,0,390,472,685,0
16:24:57.044224:380,0,0,0,385,422,685,0
16:24:58.046716:308,0,0,0,220,282,685,0
16:24:59.049264:456,0,0,0,245,372,685,0
16:25:00.054004:253,0,0,0,85,342,685,0
16:25:01.057206:253,0,0,0,265,447,685,0
16:25:02.063200:474,0,0,0,395,307,685,0
16:25:03.065731:272,0,0,0,490,262,685,0
16:25:04.068864:488,0,0,0,490,282,685,0
16:25:05.071390:326,0,0,0,265,422,685,0
16:25:06.075839:430,0,0,0,315,427,685,0
16:25:07.086417:295,0,0,0,220,342,685,0
16:25:08.109242:295,0,0,0,220,342,685,0
16:25:09.111878:475,0,0,0,290,312,685,0
16:25:10.114449:345,0,0,0,470,462,685,0
16:25:11.117098:329,0,0,0,490,212,685,0
16:25:12.123303:285,0,0,0,260,342,685,0
16:25:13.125661:450,0,0,0,315,472,685,0
16:25:14.129085:270,0,0,0,315,307,685,0
16:25:16.140650:298,0,0,0,220,472,685,0
16:25:17.147491:263,0,0,0,385,307,685,0
16:25:18.150142:367,0,0,0,490,372,685,0
16:25:19.152892:499,0,0,0,265,462,685,0
16:25:20.155463:265,0,0,0,245,472,685,0
16:25:21.158940:452,0,0,0,265,262,685,0
16:25:23.168005:295,0,0,0,290,447,685,0
16:25:24.170510:284,0,0,0,260,262,685,0
16:25:25.173240:387,0,0,0,265,422,685,0
16:25:26.175821:344,0,0,0,265,462,685,0
16:25:27.183178:384,0,0,0,470,262,685,0
16:25:28.186683:272,0,0,0,385,262,685,0
16:25:29.192699:421,0,0,0,245,372,685,0
16:25:30.199347:362,0,0,0,260,307,685,0
16:25:31.201396:403,0,0,0,315,462,685,0
16:25:32.208709:288,0,0,0,290,447,685,0
16:25:33.211350:345,0,0,0,280,312,685,0
16:25:34.214674:330,0,0,0,345,262,685,0
16:25:35.218026:261,0,0,0,490,422,685,0
16:25:36.223436:257,0,0,0,245,472,685,0
16:25:37.228157:467,0,0,0,485,422,685,0
16:25:38.230803:473,0,0,0,440,312,685,0
16:25:39.233440:488,0,0,0,220,372,685,0
16:25:40.236089:440,0,0,0,315,462,685,0
16:25:41.238615:390,0,0,0,280,212,685,0
16:25:42.248280:432,0,0,0,260,307,685,0
16:25:43.250763:480,0,0,0,110,262,685,0
16:25:44.253649:410,0,0,0,110,262,685,0
16:25:45.256170:323,0,0,0,215,372,685,0
16:25:46.258688:298,0,0,0,280,262,685,0
16:25:47.267849:350,0,0,0,265,372,685,0
16:25:48.270965:294,0,0,0,215,372,685,0
16:25:49.274606:433,0,0,0,245,262,685,0
16:25:50.278048:500,0,0,0,290,262,685,0
16:25:51.289423:500,0,0,0,395,422,685,0
16:25:52.291943:285,0,0,0,260,262,685,0
16:25:53.295275:369,0,0,0,440,307,685,0
16:25:54.301502:362,0,0,0,85,312,685,0
16:25:55.306685:437,0,0,0,85,447,685,0
16:25:56.309369:505,0,0,0,245,387,685,0
16:25:57.317861:435,0,0,0,470,262,685,0
16:25:58.322549:418,0,0,0,385,312,685,0
16:25:59.325089:469,0,0,0,315,262,685,0
16:26:00.327686:359,0,0,0,345,557,685,0
16:26:01.330309:454,0,0,0,245,447,685,0
16:26:02.338016:363,0,0,0,385,372,685,0
16:26:03.340671:393,0,0,0,265,372,685,0
16:26:04.343638:283,0,0,0,290,632,685,0
16:26:05.347306:310,0,0,0,215,462,685,0
16:26:06.351416:301,0,0,0,300,262,685,0
